Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
2,-7,-7,98,0,0,0,0,0,10,39.04614,-84.66217,16.5,12.2,17.8,1.8,0.0,333.0,6.8,1012.0,5,16,PSA Airlines,N559NN,CVG,Morning,DCA,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
4,6,3,87,0,0,0,0,0,8,36.12448,-86.67818,21.9,18.9,25.6,0.8,0.0,45.0,9.7,1012.5,6,22,Southwest Airlines Co.,N8694E,BNA,Evening,RDU,Short Haul >1500Mi,BOEING,737 NG,1
4,-5,0,180,0,0,0,0,0,1,29.64542,-95.27889,31.5,27.8,37.0,0.2,0.0,187.0,12.9,1015.6,8,3,Southwest Airlines Co.,N8853Q,HOU,Morning,DCA,Short Haul >1500Mi,BOEING,737 NG,0
5,-2,-8,106,0,0,0,0,0,3,32.89595,-97.0372,34.9,29.4,40.6,0.0,0.0,185.0,18.4,1010.7,8,4,American Eagle Airlines Inc.,N450YX,DFW,Afternoon,EVV,Short Haul >1500Mi,EMBRAER,170/175,0
3,212,195,63,10,0,0,0,185,18,40.77724,-73.87261,23.2,19.0,27.2,1.5,0.0,302.0,6.2,1009.7,6,28,JetBlue Airways,N247JB,LGA,Evening,BOS,Short Haul >1500Mi,EMBRAER,190/195,1
7,-1,-3,124,0,0,0,0,0,7,39.1754,-76.6682,26.9,20.6,32.2,0.0,0.0,52.0,7.6,1012.3,8,27,Frontier Airlines Inc.,N718FR,BWI,Morning,ATL,Short Haul >1500Mi,AIRBUS,A321,0
1,-7,-21,55,0,0,0,0,0,15,35.23706,-120.64239,15.0,6.1,27.2,0.0,0.0,6.0,5.6,1019.0,10,30,Skywest Airlines Inc.,N779SK,SBP,Evening,SFO,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
3,-3,-2,125,0,0,0,0,0,22,44.88055,-93.21692,1.1,0.0,1.7,1.3,180.0,91.0,14.4,1031.8,3,8,Delta Air Lines Inc,N338NB,MSP,Afternoon,BNA,Short Haul >1500Mi,AIRBUS,A319,0
6,-4,0,104,0,0,0,0,0,6,30.47331,-87.18744,24.0,22.0,28.0,7.8,0.0,207.0,20.0,1012.6,3,25,American Eagle Airlines Inc.,N265NN,PNS,Morning,MIA,Short Haul >1500Mi,EMBRAER,170/175,0
6,-24,-31,140,0,0,0,0,0,17,32.12758,-81.20214,7.0,2.1,13.4,0.0,0.0,263.0,12.9,1018.1,12,30,JetBlue Airways,N279JB,SAV,Evening,BOS,Short Haul >1500Mi,EMBRAER,190/195,0
3,-13,-34,82,0,0,0,0,0,20,40.77724,-73.87261,29.1,25.0,33.9,0.0,0.0,338.0,4.2,1010.6,9,6,Republic Airways,N818MD,LGA,Evening,PIT,Short Haul >1500Mi,EMBRAER,170/175,0
5,0,-5,110,0,0,0,0,0,8,26.07258,-80.15275,24.9,23.3,27.8,0.0,0.0,61.0,25.9,1018.8,11,3,Spirit Air Lines,N902NK,FLL,Morning,ATL,Short Haul >1500Mi,AIRBUS,A320,0
3,-3,-11,76,0,0,0,0,0,16,42.36435,-71.00518,14.1,8.9,23.3,0.8,0.0,170.0,17.3,1017.3,5,24,Republic Airways,N235JQ,BOS,Evening,LGA,Short Haul >1500Mi,EMBRAER,170/175,0
4,-4,-35,90,0,0,0,0,0,5,44.88055,-93.21692,3.9,0.0,11.1,0.0,0.0,218.0,12.6,1031.8,12,14,Skywest Airlines Inc.,N297SY,MSP,Afternoon,RAP,Short Haul >1500Mi,EMBRAER,170/175,0
7,43,39,71,25,0,0,0,14,28,29.98047,-95.33972,24.7,23.3,26.1,4.3,0.0,146.0,15.1,1015.1,5,7,United Air Lines Inc.,N432UA,IAH,Evening,DFW,Short Haul >1500Mi,AIRBUS,A320,1
5,-5,-2,87,0,0,0,0,0,16,42.21206,-83.34884,0.6,-0.6,2.2,15.0,0.0,62.0,23.5,1004.0,3,3,Endeavor Air,N936XJ,DTW,Afternoon,ROC,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
6,-10,-10,82,0,0,0,0,0,15,36.58698,-121.84295,12.5,8.9,16.0,1.1,0.0,347.0,8.0,1020.2,4,8,Skywest Airlines Inc.,N789SK,MRY,Afternoon,LAX,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
4,-4,-2,70,0,0,0,0,0,22,33.64044,-84.42694,16.3,13.3,21.1,0.0,0.0,70.0,11.4,1021.7,11,16,Delta Air Lines Inc,N993AT,ATL,Afternoon,GNV,Short Haul >1500Mi,BOEING,717,0
2,-3,-19,38,0,0,0,0,0,5,42.21206,-83.34884,2.1,-0.6,3.3,1.2,0.0,347.0,5.2,1017.7,12,5,Skywest Airlines Inc.,N837SK,DTW,Evening,AZO,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
